customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,ChurnFlag,ServiceCount,CustomerLifetimeValue,AvgMonthlySpend,TenureGroup,SupportRisk,HighValueCustomer,CustomerSegment,ChurnProbability,ChurnProbabilityPct,RiskLevel,RetentionRecommendation
7590-VHVEG,Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,0,1,29.85,29.85,0-6 Months,1,0,0,0.63654137,63.65,High,Offer technical support and security services
5575-GNVDE,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,0,3,1889.5,55.5735294117647,25-48 Months,0,0,3,0.019378792,1.94,Low,Maintain loyalty and engagement
3668-QPYBK,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,1,3,108.15,54.075,0-6 Months,0,0,0,0.36995906,37.0,Medium,Monitor customer and send personalized engagement offer
7795-CFOCW,Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,0,3,1840.75,40.90555555555556,25-48 Months,0,0,2,0.029616963,2.96,Low,Maintain loyalty and engagement
9237-HQITU,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,1,1,151.65,75.825,0-6 Months,1,0,0,0.6298509,62.99,High,Offer technical support and security services
9305-CDSKC,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,1,5,820.5,102.5625,7-12 Months,1,1,3,0.9208042,92.08,Critical,Offer contract upgrade with personalized retention incentive
1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,0,4,1949.4,88.60909090909091,13-24 Months,1,0,3,0.40011638,40.01,Medium,Monitor customer and send personalized engagement offer
6713-OKOMC,Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,0,1,301.9,30.189999999999998,7-12 Months,0,0,0,0.1491352,14.91,Low,Maintain loyalty and engagement
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,1,6,3046.05,108.78750000000001,25-48 Months,0,1,3,0.558008,55.8,High,Promote annual contract with loyalty benefit
6388-TABGU,Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,0,3,3487.95,56.25725806451613,49-72 Months,0,0,2,0.01818421,1.82,Low,Maintain loyalty and engagement
9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,0,2,587.45,45.18846153846154,13-24 Months,0,0,0,0.18479908,18.48,Low,Maintain loyalty and engagement
7469-LKBCI,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,0,1,326.8,20.425,13-24 Months,0,0,0,0.003944515,0.39,Low,Maintain loyalty and engagement
8091-TTVAX,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,0,5,5681.1,97.95,49-72 Months,1,1,1,0.20913686,20.91,Low,Maintain loyalty and engagement
0280-XJGEX,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,1,6,5036.3,102.78163265306122,49-72 Months,1,1,1,0.53544426,53.54,High,Offer technical support and security services
5129-JLPIS,Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,0,6,2686.05,107.44200000000001,25-48 Months,0,1,3,0.70832765,70.83,Critical,Offer contract upgrade with personalized retention incentive
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,0,8,7895.15,114.42246376811593,49-72 Months,0,1,1,0.021318559,2.13,Low,Maintain loyalty and engagement
8191-XWSZG,Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,No,0,1,1022.95,19.672115384615385,49-72 Months,0,0,2,0.017259011,1.73,Low,Maintain loyalty and engagement
9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,0,6,7382.25,103.97535211267606,49-72 Months,0,1,1,0.037455276,3.75,Low,Maintain loyalty and engagement
4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,1,3,528.35,52.835,7-12 Months,0,0,3,0.18063991,18.06,Low,Maintain loyalty and engagement
4183-MYFRB,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,0,4,1862.9,88.70952380952382,13-24 Months,1,1,3,0.4607086,46.07,Medium,Monitor customer and send personalized engagement offer
8779-QRDMV,Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,1,2,39.65,39.65,0-6 Months,1,0,0,0.91336715,91.34,Critical,Offer contract upgrade with personalized retention incentive
